SalesID,SalesDate,OrderID,CustomerID,SalesPersonID,ProductID,Quantity,Sales,StoreID,OrderStatus
112,1/1/2020,13749,37,9,70,7,226.0,9,Incomplete
113,1/1/2020,13757,59,4,36,37,326.1,7,Pending
114,1/1/2020,13757,59,4,40,19,422.9,7,Incomplete
115,1/1/2020,13767,3,9,11,60,1683.8,7,Pending
116,1/1/2020,13767,3,9,40,12,230.9,7,Incomplete
117,1/1/2020,13767,3,9,57,6,121.3,7,Incomplete
118,1/1/2020,13767,3,9,59,18,136.7,7,Incomplete
187,1/1/2020,16727,5,9,19,26,207.3,7,Incomplete
188,1/1/2020,16727,5,9,47,21,478.2,7,Pending
189,1/1/2020,16727,5,9,49,15,302.4,7,Complete
190,1/1/2020,16794,66,6,49,31,717.3,4,Complete
191,1/1/2020,16870,48,5,12,21,214.6,1,Complete
192,1/1/2020,16870,48,1,18,11,319.0,1,Complete
193,1/1/2020,16870,48,1,56,5,189.5,1,Complete
194,1/1/2020,16934,22,4,3,33,803.0,4,Complete
195,2/1/2020,10338,1,8,17,20,524.8,8,Complete
196,2/1/2020,10338,1,8,30,15,381.0,8,Complete
197,2/1/2020,10339,51,1,4,10,213.2,9,Complete
198,2/1/2020,10339,51,1,17,70,1712.2,9,Complete
199,2/1/2020,10339,51,1,62,28,857.1,9,Complete
200,2/1/2020,10343,44,8,64,50,1697.5,3,Complete
201,2/1/2020,10343,44,8,68,4,46.2,3,Complete
202,2/1/2020,10343,44,8,76,15,5862.3,3,Complete
203,2/1/2020,10344,89,2,4,35,727.3,4,Complete
204,2/1/2020,10344,89,2,8,70,1358.0,4,Complete
205,2/1/2020,10362,44,8,25,50,752.0,2,Complete
206,2/1/2020,10362,44,8,51,20,2195.8,2,Complete
207,2/1/2020,10362,44,8,54,24,889.7,2,Complete
208,2/1/2020,10364,19,2,69,30,61.5,4,Complete
209,2/1/2020,10364,19,2,71,5,148.7,4,Complete
210,2/1/2020,10365,3,2,11,24,707.5,5,Complete
211,2/1/2020,10366,29,4,65,5,45.6,6,Complete
212,2/1/2020,10366,29,4,77,5,63.6,6,Complete
213,2/1/2020,10368,73,3,21,5,52.7,8,Complete
214,2/1/2020,10368,73,3,28,13,617.1,8,Complete
215,2/1/2020,10368,73,3,57,25,451.3,8,Complete
216,2/1/2020,10368,73,3,64,35,1131.9,8,Complete
217,2/1/2020,10369,75,1,29,20,2355.6,9,Complete
218,2/1/2020,10369,75,1,56,18,709.6,9,Complete
219,2/1/2020,10371,41,4,36,6,46.6,1,Complete
220,2/1/2020,10384,5,2,20,28,2422.3,4,Complete
221,2/1/2020,10384,5,2,60,15,79.8,4,Complete
222,2/1/2020,10394,36,1,13,10,270.4,4,Complete
223,2/1/2020,10394,36,1,62,10,266.7,4,Complete
224,2/1/2020,10395,35,3,46,28,325.4,5,Complete
225,2/1/2020,10395,35,3,53,70,4645.2,5,Complete
226,2/1/2020,10395,35,3,69,8,15.0,5,Complete
227,2/1/2020,10398,71,9,35,30,163.5,8,Complete
228,2/1/2020,10398,71,3,55,120,4486.8,8,Complete
229,2/1/2020,10432,23,6,26,10,300.4,2,Complete
230,2/1/2020,10432,23,6,54,40,1364.8,2,Complete
231,2/1/2020,10434,23,6,11,6,156.8,4,Complete
232,2/1/2020,10434,23,6,76,18,7766.8,4,Complete
233,2/1/2020,10461,46,9,21,40,394.4,1,Complete
234,2/1/2020,10461,46,9,30,28,764.1,1,Complete
235,2/1/2020,10461,46,9,55,60,2114.4,1,Complete
236,2/1/2020,10485,47,9,2,20,348.8,5,Complete
237,2/1/2020,10485,47,9,3,20,433.6,5,Complete
238,2/1/2020,10485,47,9,55,30,1056.3,5,Complete
239,2/1/2020,10485,47,9,70,60,1608.0,5,Complete
240,2/1/2020,10524,5,3,10,2,15.0,4,Complete
241,2/1/2020,10524,5,3,30,10,272.5,4,Complete
242,2/1/2020,10524,5,9,43,60,780.0,4,Complete
243,2/1/2020,10524,5,3,54,15,513.5,4,Complete
244,2/1/2020,10552,35,3,69,18,34.6,2,Complete
245,2/1/2020,10552,35,3,75,30,214.8,2,Complete
246,2/1/2020,11099,23,6,14,14,364.7,9,Complete
247,2/1/2020,11099,23,6,54,9,357.9,9,Complete
248,2/1/2020,11356,46,2,11,14,396.2,6,Complete
249,2/1/2020,11356,46,2,16,35,348.3,6,Complete
250,2/1/2020,11356,46,2,69,17,34.2,6,Complete
251,2/1/2020,11360,49,6,66,37,779.1,1,Complete
252,2/1/2020,11360,49,6,68,24,286.4,1,Complete
253,2/1/2020,11366,69,5,30,10,329.4,6,Complete
254,2/1/2020,11366,69,5,53,10,718.5,6,Complete
255,2/1/2020,11366,69,5,54,5,222.7,6,Complete
256,2/1/2020,11398,1,8,17,23,550.7,8,Complete
257,2/1/2020,11398,1,8,30,17,394.0,8,Complete
258,2/1/2020,11645,79,7,52,23,2056.6,5,Complete
259,2/1/2020,11662,7,4,31,31,268.9,2,Complete
260,2/1/2020,11662,7,4,57,13,238.4,2,Complete
261,2/1/2020,11816,19,3,75,36,276.3,6,Complete
262,2/1/2020,11843,60,4,8,28,702.7,3,Complete
263,2/1/2020,11843,60,4,29,9,1477.4,3,Complete
264,2/1/2020,11843,60,4,42,13,234.8,3,Complete
265,2/1/2020,11853,44,7,3,26,527.5,3,Complete
266,2/1/2020,11853,44,7,59,115,920.0,3,Complete
267,2/1/2020,11853,44,7,70,31,927.8,3,Complete
268,2/1/2020,11864,39,9,55,31,1088.4,4,Complete
269,2/1/2020,11864,39,9,59,22,181.3,4,Complete
270,2/1/2020,11928,73,3,21,5,51.0,8,Complete
271,2/1/2020,11928,73,3,28,12,552.0,8,Complete
272,2/1/2020,11928,73,3,57,24,419.8,8,Complete
273,2/1/2020,11928,73,3,64,33,1034.1,8,Complete
274,2/1/2020,12071,82,1,4,14,388.8,1,Complete
275,2/1/2020,12071,82,1,7,45,2224.8,1,Complete
276,2/1/2020,12071,82,1,8,9,230.1,1,Complete
277,2/1/2020,12074,82,1,20,36,3291.8,4,Complete
278,2/1/2020,12074,82,1,28,32,1536.6,4,Complete
279,2/1/2020,12074,82,1,56,64,2540.1,4,Complete
280,2/1/2020,12074,82,1,65,36,411.3,4,Complete
281,2/1/2020,12074,82,1,75,46,352.1,4,Complete
282,2/1/2020,12085,59,4,36,33,262.3,5,Complete
283,2/1/2020,12085,59,4,40,17,341.3,5,Complete
284,2/1/2020,12093,24,7,4,16,315.3,3,Complete
285,2/1/2020,12093,24,7,72,25,268.8,3,Complete
286,2/1/2020,12093,24,7,73,25,24.9,3,Complete
287,2/1/2020,12101,34,9,24,41,158.7,1,Complete
288,2/1/2020,12101,34,9,38,5,355.2,1,Complete
289,2/1/2020,12101,34,9,65,42,356.3,1,Complete
290,2/1/2020,12101,34,9,71,10,254.1,1,Complete
291,2/1/2020,12105,43,1,11,11,294.3,5,Complete
292,2/1/2020,12155,13,3,21,11,120.0,5,Complete
293,2/1/2020,12155,13,3,37,1,4.7,5,Complete
294,2/1/2020,12172,80,1,10,19,127.4,2,Complete
